// Skill Damage Adjustment Database
//
// Structure of Database:
// SkillName,Caster,Map,Damage against Players{,Damage against Mobs{,Damage against Bosses{,Damage against Other}}}
//
// Caster: The groups for which the adjustment takes effect. (bitmask)
//		BL_PC = Player
//		BL_MOB = Monster
//		BL_PET = Pet
//		BL_HOM = Homunculus
//		BL_MER = Mercenary
//		BL_ELEM = Elemental
//
// Map:
// 		1    - Normal (the maps that aren't classified as these maps below)
// 		2    - PVP
// 		4    - GVG
// 		8    - Battlegrounds
// 		16   - 'skill_damage' mapflag
// Restricted zones - they're configured by 'restricted <number>' mapflag
// 		32   - Zone 1
// 		64   - Zone 2
// 		128  - Zone 3
// 		256  - Zone 4
// 		512  - Zone 5
// 		1024 - Zone 6
// 		2048 - Zone 7
//
// Notes:
//  	Damage is a percentage between -100 and 100000.
//  	Negative values decrease damage and positive values increase it (0 = no change).
//
// Examples:
// MC_MAMMONITE,BL_PC,1,50 // In normal maps, players deal +50% damage to other players with Mammonite.
// MO_EXTREMITYFIST,BL_PC,6,-50 // In PVP and GVG, players deal -50% (half) damage to other players with Asura Strike.
// AB_ADORAMUS,BL_PC,6,50,0,10,15 // In PVP and GVG, players deal +50% damage to other players, +0% to mobs, +10% to bosses, and +15% to other with Adoramus.

// Custom: strengthen player Mage, Wizard, High Wizard, and Scholar magic in normal PvE maps.
// Format: SkillName,BL_PC,NormalMap,Players,Mobs,Bosses,Other
// 25 means +25% damage. PvP/GvG/BG are intentionally unaffected.
MG_NAPALMBEAT,BL_PC,1,0,25,25,0
MG_SOULSTRIKE,BL_PC,1,0,25,25,0
MG_COLDBOLT,BL_PC,1,0,25,25,0
MG_FROSTDIVER,BL_PC,1,0,25,25,0
MG_FIREBALL,BL_PC,1,0,25,25,0
MG_FIREWALL,BL_PC,1,0,25,25,0
MG_FIREBOLT,BL_PC,1,0,25,25,0
MG_LIGHTNINGBOLT,BL_PC,1,0,25,25,0
MG_THUNDERSTORM,BL_PC,1,0,25,25,0
WZ_FIREPILLAR,BL_PC,1,0,25,25,0
WZ_SIGHTRASHER,BL_PC,1,0,25,25,0
WZ_METEOR,BL_PC,1,0,25,25,0
WZ_JUPITEL,BL_PC,1,0,25,25,0
WZ_VERMILION,BL_PC,1,0,25,25,0
WZ_WATERBALL,BL_PC,1,0,25,25,0
WZ_FROSTNOVA,BL_PC,1,0,25,25,0
WZ_STORMGUST,BL_PC,1,0,25,25,0
WZ_EARTHSPIKE,BL_PC,1,0,25,25,0
WZ_HEAVENDRIVE,BL_PC,1,0,25,25,0
WZ_SIGHTBLASTER,BL_PC,1,0,25,25,0
HW_MAGICCRASHER,BL_PC,1,0,25,25,0
HW_NAPALMVULCAN,BL_PC,1,0,25,25,0
HW_GRAVITATION,BL_PC,1,0,25,25,0
PF_SOULBURN,BL_PC,1,0,25,25,0
